,iso3,TIME,theil,level
KOR-2000,KOR,2000,0.005195142,gdppc_tl2
KOR-2001,KOR,2001,0.006005653,gdppc_tl2
KOR-2002,KOR,2002,0.005991312,gdppc_tl2
KOR-2003,KOR,2003,0.005261351,gdppc_tl2
KOR-2004,KOR,2004,0.005635241,gdppc_tl2
KOR-2005,KOR,2005,0.005921543,gdppc_tl2
KOR-2006,KOR,2006,0.00626686,gdppc_tl2
KOR-2007,KOR,2007,0.006263271,gdppc_tl2
KOR-2008,KOR,2008,0.007318278,gdppc_tl2
KOR-2009,KOR,2009,0.006205958,gdppc_tl2
KOR-2010,KOR,2010,0.00856758,gdppc_tl2
KOR-2011,KOR,2011,0.008529849,gdppc_tl2
KOR-2012,KOR,2012,0.007365716,gdppc_tl2
KOR-2013,KOR,2013,0.006914593,gdppc_tl2
KOR-2014,KOR,2014,0.005709081,gdppc_tl2
KOR-2015,KOR,2015,0.005521722,gdppc_tl2
KOR-2016,KOR,2016,0.005306359,gdppc_tl2
KOR-2017,KOR,2017,0.006159513,gdppc_tl2
KOR-2018,KOR,2018,0.006624364,gdppc_tl2
KOR-2019,KOR,2019,0.00566135,gdppc_tl2
KOR-2020,KOR,2020,0.007226606,gdppc_tl2
MEX-2000,MEX,2000,0.229610376,gdppc_tl2
MEX-2001,MEX,2001,0.229610777,gdppc_tl2
MEX-2002,MEX,2002,0.229609006,gdppc_tl2
MEX-2003,MEX,2003,0.229608548,gdppc_tl2
MEX-2004,MEX,2004,0.284390656,gdppc_tl2
MEX-2005,MEX,2005,0.321059341,gdppc_tl2
MEX-2006,MEX,2006,0.326307292,gdppc_tl2
MEX-2007,MEX,2007,0.323684731,gdppc_tl2
MEX-2008,MEX,2008,0.33345291,gdppc_tl2
MEX-2009,MEX,2009,0.238484895,gdppc_tl2
MEX-2010,MEX,2010,0.249086917,gdppc_tl2
MEX-2011,MEX,2011,0.291235295,gdppc_tl2
MEX-2012,MEX,2012,0.263528906,gdppc_tl2
MEX-2013,MEX,2013,0.235376888,gdppc_tl2
MEX-2014,MEX,2014,0.209521436,gdppc_tl2
MEX-2015,MEX,2015,0.120668746,gdppc_tl2
MEX-2016,MEX,2016,0.109181064,gdppc_tl2
MEX-2017,MEX,2017,0.116360279,gdppc_tl2
MEX-2018,MEX,2018,0.12316061,gdppc_tl2
MEX-2019,MEX,2019,0.131518871,gdppc_tl2
MEX-2020,MEX,2020,0.103741851,gdppc_tl2
NLD-2000,NLD,2000,0.023561006,gdppc_tl2
NLD-2001,NLD,2001,0.02361055,gdppc_tl2
NLD-2002,NLD,2002,0.023530829,gdppc_tl2
NLD-2003,NLD,2003,0.021308266,gdppc_tl2
NLD-2004,NLD,2004,0.021666284,gdppc_tl2
NLD-2005,NLD,2005,0.021954817,gdppc_tl2
NLD-2006,NLD,2006,0.021477145,gdppc_tl2
NLD-2007,NLD,2007,0.019736225,gdppc_tl2
NLD-2008,NLD,2008,0.020659739,gdppc_tl2
NLD-2009,NLD,2009,0.021428509,gdppc_tl2
NLD-2010,NLD,2010,0.020871319,gdppc_tl2
NLD-2011,NLD,2011,0.019499609,gdppc_tl2
NLD-2012,NLD,2012,0.020871086,gdppc_tl2
NLD-2013,NLD,2013,0.022319322,gdppc_tl2
NLD-2014,NLD,2014,0.0208194,gdppc_tl2
NLD-2015,NLD,2015,0.020999757,gdppc_tl2
NLD-2016,NLD,2016,0.020669451,gdppc_tl2
NLD-2017,NLD,2017,0.021018703,gdppc_tl2
NLD-2018,NLD,2018,0.020950953,gdppc_tl2
NLD-2019,NLD,2019,0.022040363,gdppc_tl2
NLD-2020,NLD,2020,0.020196257,gdppc_tl2
NOR-2000,NOR,2000,0.017311498,gdppc_tl2
NOR-2001,NOR,2001,0.015767994,gdppc_tl2
NOR-2002,NOR,2002,0.015407935,gdppc_tl2
NOR-2003,NOR,2003,0.012614642,gdppc_tl2
NOR-2004,NOR,2004,0.014190113,gdppc_tl2
NOR-2005,NOR,2005,0.015443553,gdppc_tl2
NOR-2006,NOR,2006,0.015979791,gdppc_tl2
NOR-2007,NOR,2007,0.017890685,gdppc_tl2
NOR-2008,NOR,2008,0.013335874,gdppc_tl2
NOR-2009,NOR,2009,0.012695358,gdppc_tl2
