"","REG_ID","TIME","GDP_PC","POP","REG_ID_M","iso3","Regional name (eng)","metro_code","metro_name","metro_lev1","metro_large","metro_far"
"72","AT111","2008",27378,37460,NA,"AUT","Mittelburgenland","NMR-S","Near a FUA<250K","Non-metropolitan","Far from a FUA>250K","Far from a FUA>250K"
"73","AT111","2009",27367,37500,NA,"AUT","Mittelburgenland","NMR-S","Near a FUA<250K","Non-metropolitan","Far from a FUA>250K","Far from a FUA>250K"
"74","AT111","2010",27202,37520,NA,"AUT","Mittelburgenland","NMR-S","Near a FUA<250K","Non-metropolitan","Far from a FUA>250K","Far from a FUA>250K"
"75","AT111","2011",28360,37530,NA,"AUT","Mittelburgenland","NMR-S","Near a FUA<250K","Non-metropolitan","Far from a FUA>250K","Far from a FUA>250K"
"76","AT111","2012",28010,37560,NA,"AUT","Mittelburgenland","NMR-S","Near a FUA<250K","Non-metropolitan","Far from a FUA>250K","Far from a FUA>250K"
"77","AT111","2013",28979,37550,NA,"AUT","Mittelburgenland","NMR-S","Near a FUA<250K","Non-metropolitan","Far from a FUA>250K","Far from a FUA>250K"
"78","AT111","2014",29526,37580,NA,"AUT","Mittelburgenland","NMR-S","Near a FUA<250K","Non-metropolitan","Far from a FUA>250K","Far from a FUA>250K"
"79","AT111","2015",29706,37660,NA,"AUT","Mittelburgenland","NMR-S","Near a FUA<250K","Non-metropolitan","Far from a FUA>250K","Far from a FUA>250K"
"80","AT111","2016",30141,37720,NA,"AUT","Mittelburgenland","NMR-S","Near a FUA<250K","Non-metropolitan","Far from a FUA>250K","Far from a FUA>250K"
"81","AT111","2017",32203,37710,NA,"AUT","Mittelburgenland","NMR-S","Near a FUA<250K","Non-metropolitan","Far from a FUA>250K","Far from a FUA>250K"
"82","AT111","2018",31850,37590,NA,"AUT","Mittelburgenland","NMR-S","Near a FUA<250K","Non-metropolitan","Far from a FUA>250K","Far from a FUA>250K"
"83","AT111","2019",31980,37450,NA,"AUT","Mittelburgenland","NMR-S","Near a FUA<250K","Non-metropolitan","Far from a FUA>250K","Far from a FUA>250K"
"84","AT111","2020",30034.9548575445,37420,NA,"AUT","Mittelburgenland","NMR-S","Near a FUA<250K","Non-metropolitan","Far from a FUA>250K","Far from a FUA>250K"
"85","AT113","2000",25954,98720,NA,"AUT","Südburgenland","NMR-S","Near a FUA<250K","Non-metropolitan","Far from a FUA>250K","Far from a FUA>250K"
"86","AT113","2001",26652,97820,NA,"AUT","Südburgenland","NMR-S","Near a FUA<250K","Non-metropolitan","Far from a FUA>250K","Far from a FUA>250K"
"87","AT113","2002",28093,97660,NA,"AUT","Südburgenland","NMR-S","Near a FUA<250K","Non-metropolitan","Far from a FUA>250K","Far from a FUA>250K"
"88","AT113","2003",27980,97330,NA,"AUT","Südburgenland","NMR-S","Near a FUA<250K","Non-metropolitan","Far from a FUA>250K","Far from a FUA>250K"
"89","AT113","2004",27630,97300,NA,"AUT","Südburgenland","NMR-S","Near a FUA<250K","Non-metropolitan","Far from a FUA>250K","Far from a FUA>250K"
"90","AT113","2005",27452,97460,NA,"AUT","Südburgenland","NMR-S","Near a FUA<250K","Non-metropolitan","Far from a FUA>250K","Far from a FUA>250K"
"91","AT113","2006",27268,97490,NA,"AUT","Südburgenland","NMR-S","Near a FUA<250K","Non-metropolitan","Far from a FUA>250K","Far from a FUA>250K"
"92","AT113","2007",28881,97360,NA,"AUT","Südburgenland","NMR-S","Near a FUA<250K","Non-metropolitan","Far from a FUA>250K","Far from a FUA>250K"
"93","AT113","2008",29201,97470,NA,"AUT","Südburgenland","NMR-S","Near a FUA<250K","Non-metropolitan","Far from a FUA>250K","Far from a FUA>250K"
"94","AT113","2009",28843,97630,NA,"AUT","Südburgenland","NMR-S","Near a FUA<250K","Non-metropolitan","Far from a FUA>250K","Far from a FUA>250K"
"95","AT113","2010",29998,97570,NA,"AUT","Südburgenland","NMR-S","Near a FUA<250K","Non-metropolitan","Far from a FUA>250K","Far from a FUA>250K"
"96","AT113","2011",30581,97640,NA,"AUT","Südburgenland","NMR-S","Near a FUA<250K","Non-metropolitan","Far from a FUA>250K","Far from a FUA>250K"
"97","AT113","2012",30797,97630,NA,"AUT","Südburgenland","NMR-S","Near a FUA<250K","Non-metropolitan","Far from a FUA>250K","Far from a FUA>250K"
"98","AT113","2013",30232,97440,NA,"AUT","Südburgenland","NMR-S","Near a FUA<250K","Non-metropolitan","Far from a FUA>250K","Far from a FUA>250K"
"99","AT113","2014",30828,97220,NA,"AUT","Südburgenland","NMR-S","Near a FUA<250K","Non-metropolitan","Far from a FUA>250K","Far from a FUA>250K"
"100","AT113","2015",31117,97300,NA,"AUT","Südburgenland","NMR-S","Near a FUA<250K","Non-metropolitan","Far from a FUA>250K","Far from a FUA>250K"
"101","AT113","2016",31597,97480,NA,"AUT","Südburgenland","NMR-S","Near a FUA<250K","Non-metropolitan","Far from a FUA>250K","Far from a FUA>250K"
"102","AT113","2017",32797,97310,NA,"AUT","Südburgenland","NMR-S","Near a FUA<250K","Non-metropolitan","Far from a FUA>250K","Far from a FUA>250K"
"103","AT113","2018",33146,97060,NA,"AUT","Südburgenland","NMR-S","Near a FUA<250K","Non-metropolitan","Far from a FUA>250K","Far from a FUA>250K"
"104","AT113","2019",33594,96960,NA,"AUT","Südburgenland","NMR-S","Near a FUA<250K","Non-metropolitan","Far from a FUA>250K","Far from a FUA>250K"
"105","AT113","2020",31550.7902903173,97040,NA,"AUT","Südburgenland","NMR-S","Near a FUA<250K","Non-metropolitan","Far from a FUA>250K","Far from a FUA>250K"
